year,spring_equinox,summer_solstice,fall_equinox,winter_solstice
2001,2001-03-20T13:31:00,2001-06-21T07:38:00,2001-09-22T23:05:00,2001-12-21T19:22:00
2002,2002-03-20T19:16:00,2002-06-21T13:25:00,2002-09-23T04:56:00,2002-12-22T01:15:00
2003,2003-03-21T01:00:00,2003-06-21T19:11:00,2003-09-23T10:47:00,2003-12-22T07:04:00
2004,2004-03-20T06:49:00,2004-06-21T00:57:00,2004-09-22T16:30:00,2004-12-21T12:42:00
2005,2005-03-20T12:34:00,2005-06-21T06:46:00,2005-09-22T22:23:00,2005-12-21T18:35:00
2006,2006-03-20T18:25:00,2006-06-21T12:26:00,2006-09-23T04:04:00,2006-12-22T00:22:00
2007,2007-03-21T00:07:00,2007-06-21T18:06:00,2007-09-23T09:51:00,2007-12-22T06:08:00
2008,2008-03-20T05:49:00,2008-06-21T00:00:00,2008-09-22T15:45:00,2008-12-21T12:04:00
2009,2009-03-20T11:44:00,2009-06-21T05:45:00,2009-09-22T21:18:00,2009-12-21T17:47:00
2010,2010-03-20T17:32:00,2010-06-21T11:28:00,2010-09-23T03:09:00,2010-12-21T23:38:00
2011,2011-03-20T23:21:00,2011-06-21T17:16:00,2011-09-23T09:05:00,2011-12-22T05:30:00
2012,2012-03-20T05:15:00,2012-06-20T23:08:00,2012-09-22T14:49:00,2012-12-21T11:12:00
2013,2013-03-20T11:02:00,2013-06-21T05:04:00,2013-09-22T20:44:00,2013-12-21T17:11:00
2014,2014-03-20T16:57:00,2014-06-21T10:52:00,2014-09-23T02:30:00,2014-12-21T23:03:00
2015,2015-03-20T22:45:00,2015-06-21T16:38:00,2015-09-23T08:20:00,2015-12-22T04:48:00
2016,2016-03-20T04:31:00,2016-06-20T22:35:00,2016-09-22T14:21:00,2016-12-21T10:45:00
2017,2017-03-20T10:29:00,2017-06-21T04:25:00,2017-09-22T20:02:00,2017-12-21T16:29:00
2018,2018-03-20T16:15:00,2018-06-21T10:07:00,2018-09-23T01:54:00,2018-12-21T22:22:00
2019,2019-03-20T21:58:00,2019-06-21T15:54:00,2019-09-23T07:50:00,2019-12-22T04:19:00
2020,2020-03-20T03:50:00,2020-06-20T21:43:00,2020-09-22T13:31:00,2020-12-21T10:03:00
2021,2021-03-20T09:37:00,2021-06-21T03:32:00,2021-09-22T19:21:00,2021-12-21T15:59:00
2022,2022-03-20T15:33:00,2022-06-21T09:14:00,2022-09-23T01:04:00,2022-12-21T21:48:00
2023,2023-03-20T21:25:00,2023-06-21T14:58:00,2023-09-23T06:50:00,2023-12-22T03:28:00
2024,2024-03-20T03:07:00,2024-06-20T20:51:00,2024-09-22T12:44:00,2024-12-21T09:20:00
2025,2025-03-20T09:02:00,2025-06-21T02:42:00,2025-09-22T18:20:00,2025-12-21T15:03:00
2026,2026-03-20T14:46:00,2026-06-21T08:25:00,2026-09-23T00:06:00,2026-12-21T20:50:00
2027,2027-03-20T20:25:00,2027-06-21T14:11:00,2027-09-23T06:02:00,2027-12-22T02:43:00
2028,2028-03-20T02:17:00,2028-06-20T20:02:00,2028-09-22T11:45:00,2028-12-21T08:20:00
2029,2029-03-20T08:01:00,2029-06-21T01:48:00,2029-09-22T17:37:00,2029-12-21T14:14:00
2030,2030-03-20T13:51:00,2030-06-21T07:31:00,2030-09-22T23:27:00,2030-12-21T20:09:00
2031,2031-03-20T19:41:00,2031-06-21T13:17:00,2031-09-23T05:15:00,2031-12-22T01:56:00
2032,2032-03-20T01:23:00,2032-06-20T19:09:00,2032-09-22T11:11:00,2032-12-21T07:57:00
2033,2033-03-20T07:23:00,2033-06-21T01:01:00,2033-09-22T16:52:00,2033-12-21T13:45:00
2034,2034-03-20T13:18:00,2034-06-21T06:45:00,2034-09-22T22:41:00,2034-12-21T19:35:00
2035,2035-03-20T19:03:00,2035-06-21T12:33:00,2035-09-23T04:39:00,2035-12-22T01:31:00
2036,2036-03-20T01:02:00,2036-06-20T18:31:00,2036-09-22T10:23:00,2036-12-21T07:12:00
2037,2037-03-20T06:50:00,2037-06-21T00:22:00,2037-09-22T16:13:00,2037-12-21T13:08:00
2038,2038-03-20T12:40:00,2038-06-21T06:09:00,2038-09-22T22:02:00,2038-12-21T19:01:00
2039,2039-03-20T18:32:00,2039-06-21T11:58:00,2039-09-23T03:50:00,2039-12-22T00:41:00
2040,2040-03-20T00:11:00,2040-06-20T17:46:00,2040-09-22T09:44:00,2040-12-21T06:33:00
2041,2041-03-20T06:07:00,2041-06-20T23:37:00,2041-09-22T15:27:00,2041-12-21T12:19:00
2042,2042-03-20T11:53:00,2042-06-21T05:16:00,2042-09-22T21:11:00,2042-12-21T18:04:00
2043,2043-03-20T17:29:00,2043-06-21T10:59:00,2043-09-23T03:07:00,2043-12-22T00:02:00
2044,2044-03-19T23:20:00,2044-06-20T16:50:00,2044-09-22T08:47:00,2044-12-21T05:43:00
2045,2045-03-20T05:08:00,2045-06-20T22:34:00,2045-09-22T14:33:00,2045-12-21T11:36:00
2046,2046-03-20T10:58:00,2046-06-21T04:15:00,2046-09-22T20:22:00,2046-12-21T17:28:00
2047,2047-03-20T16:52:00,2047-06-21T10:02:00,2047-09-23T02:07:00,2047-12-21T23:07:00
2048,2048-03-19T22:34:00,2048-06-20T15:54:00,2048-09-22T08:01:00,2048-12-21T05:02:00
2049,2049-03-20T04:28:00,2049-06-20T21:47:00,2049-09-22T13:42:00,2049-12-21T10:51:00
2050,2050-03-20T10:20:00,2050-06-21T03:33:00,2050-09-22T19:29:00,2050-12-21T16:39:00
2051,2051-03-20T15:58:00,2051-06-21T09:17:00,2051-09-23T01:26:00,2051-12-21T22:33:00
2052,2052-03-19T21:56:00,2052-06-20T15:16:00,2052-09-22T07:16:00,2052-12-21T04:18:00
2053,2053-03-20T03:46:00,2053-06-20T21:03:00,2053-09-22T13:05:00,2053-12-21T10:09:00
2054,2054-03-20T09:35:00,2054-06-21T02:47:00,2054-09-22T19:00:00,2054-12-21T16:10:00
2055,2055-03-20T15:28:00,2055-06-21T08:39:00,2055-09-23T00:48:00,2055-12-21T21:56:00
2056,2056-03-19T21:11:00,2056-06-20T14:29:00,2056-09-22T06:40:00,2056-12-21T03:52:00
2057,2057-03-20T03:08:00,2057-06-20T20:19:00,2057-09-22T12:23:00,2057-12-21T09:42:00
