species_name,genus_name,family_name,order_name
Acaena acrobyssina,Acaena,Rosaceae,Rosales
Acaena acroglochin,Acaena,Rosaceae,Rosales
Acaena aculeata,Acaena,Rosaceae,Rosales
Acaena acutifida,Acaena,Rosaceae,Rosales
Acaena adenocarpa,Acaena,Rosaceae,Rosales
Acaena adenocarpa,Acaena,Rosaceae,Rosales
Acaena adscendens,Acaena,Rosaceae,Rosales
Acaena affinis,Acaena,Rosaceae,Rosales
Acaena agnipila,Acaena,Rosaceae,Rosales
Acaena agrimonioides,Acaena,Rosaceae,Rosales
Acaena alboffii,Acaena,Rosaceae,Rosales
Acaena alpina,Acaena,Rosaceae,Rosales
Acaena alpina,Acaena,Rosaceae,Rosales
Acaena andicola,Acaena,Rosaceae,Rosales
Acaena andicola,Acaena,Rosaceae,Rosales
Acaena andina,Acaena,Rosaceae,Rosales
Acaena anserinacea,Acaena,Rosaceae,Rosales
Acaena anserinella,Acaena,Rosaceae,Rosales
Acaena anserinifolia,Acaena,Rosaceae,Rosales
Acaena anserinifolia,Acaena,Rosaceae,Rosales
Acaena anserinifolia,Acaena,Rosaceae,Rosales
Acaena anserovina,Acaena,Rosaceae,Rosales
Acaena antarctica,Acaena,Rosaceae,Rosales
Acaena aquatica,Acaena,Rosaceae,Rosales
Acaena argentea,Acaena,Rosaceae,Rosales
Acaena argentea,Acaena,Rosaceae,Rosales
Acaena argentea,Acaena,Rosaceae,Rosales
Acaena arthrotricha,Acaena,Rosaceae,Rosales
Acaena ascendens,Acaena,Rosaceae,Rosales
Acaena asthenoglochin,Acaena,Rosaceae,Rosales
Acaena australis,Acaena,Rosaceae,Rosales
Acaena basibullata,Acaena,Rosaceae,Rosales
Acaena behriana,Acaena,Rosaceae,Rosales
Acaena berteriana,Acaena,Rosaceae,Rosales
Acaena berteroana,Acaena,Rosaceae,Rosales
Acaena berteroana,Acaena,Rosaceae,Rosales
Acaena boliviana,Acaena,Rosaceae,Rosales
Acaena brachyglochin,Acaena,Rosaceae,Rosales
Acaena brunnescens,Acaena,Rosaceae,Rosales
Acaena buchananii,Acaena,Rosaceae,Rosales
Acaena cadilla,Acaena,Rosaceae,Rosales
Acaena caesiiglauca,Acaena,Rosaceae,Rosales
Acaena caespitosa,Acaena,Rosaceae,Rosales
Acaena caespitosa,Acaena,Rosaceae,Rosales
Acaena calcitrapa,Acaena,Rosaceae,Rosales
Acaena calvivagina,Acaena,Rosaceae,Rosales
Acaena canescens,Acaena,Rosaceae,Rosales
Acaena capitata,Acaena,Rosaceae,Rosales
Acaena chamacaena,Acaena,Rosaceae,Rosales
Acaena chamaecaena,Acaena,Rosaceae,Rosales
Acaena chamaegeron,Acaena,Rosaceae,Rosales
Acaena chubutensis,Acaena,Rosaceae,Rosales
Acaena closiana,Acaena,Rosaceae,Rosales
Acaena colchaguensis,Acaena,Rosaceae,Rosales
Acaena compacta,Acaena,Rosaceae,Rosales
Acaena confertissima,Acaena,Rosaceae,Rosales
Acaena coxi,Acaena,Rosaceae,Rosales
Acaena craspedotricha,Acaena,Rosaceae,Rosales
Acaena cunctatrix,Acaena,Rosaceae,Rosales
Acaena cuneata,Acaena,Rosaceae,Rosales
Acaena cylindristachya,Acaena,Rosaceae,Rosales
Acaena decumbens,Acaena,Rosaceae,Rosales
Acaena decumbens,Acaena,Rosaceae,Rosales
Acaena decumbens,Acaena,Rosaceae,Rosales
Acaena denudata,Acaena,Rosaceae,Rosales
Acaena depauperata,Acaena,Rosaceae,Rosales
Acaena depressa,Acaena,Rosaceae,Rosales
Acaena deserticola,Acaena,Rosaceae,Rosales
Acaena dieckii,Acaena,Rosaceae,Rosales
Acaena digitata,Acaena,Rosaceae,Rosales
Acaena dimorphoglochin,Acaena,Rosaceae,Rosales
Acaena distichophylla,Acaena,Rosaceae,Rosales
Acaena dolichanthera,Acaena,Rosaceae,Rosales
Acaena dumicola,Acaena,Rosaceae,Rosales
Acaena dumulosa,Acaena,Rosaceae,Rosales
Acaena echinata,Acaena,Rosaceae,Rosales
Acaena echinata,Acaena,Rosaceae,Rosales
Acaena eglochidiata,Acaena,Rosaceae,Rosales
Acaena elegans,Acaena,Rosaceae,Rosales
Acaena elongata,Acaena,Rosaceae,Rosales
Acaena emittens,Acaena,Rosaceae,Rosales
Acaena eptandrum,Acaena,Rosaceae,Rosales
Acaena euacantha,Acaena,Rosaceae,Rosales
Acaena eupatoria,Acaena,Rosaceae,Rosales
Acaena exaltata,Acaena,Rosaceae,Rosales
Acaena exigua,Acaena,Rosaceae,Rosales
Acaena fissistipula,Acaena,Rosaceae,Rosales
Acaena floribunda,Acaena,Rosaceae,Rosales
Acaena frondosibracteata,Acaena,Rosaceae,Rosales
Acaena fuegina,Acaena,Rosaceae,Rosales
Acaena fuscescens,Acaena,Rosaceae,Rosales
Acaena glaberrima,Acaena,Rosaceae,Rosales
Acaena glabra,Acaena,Rosaceae,Rosales
Acaena glandulifera,Acaena,Rosaceae,Rosales
Acaena glaucella,Acaena,Rosaceae,Rosales
Acaena glaucophylla,Acaena,Rosaceae,Rosales
Acaena gracillima,Acaena,Rosaceae,Rosales
Acaena grahamiana,Acaena,Rosaceae,Rosales
Acaena grahamiana,Acaena,Rosaceae,Rosales
Acaena grandistipula,Acaena,Rosaceae,Rosales
Acaena grossifolia,Acaena,Rosaceae,Rosales
Acaena heptandra,Acaena,Rosaceae,Rosales
Acaena heptandra,Acaena,Rosaceae,Rosales
Acaena hieronymi,Acaena,Rosaceae,Rosales
Acaena hirsuta,Acaena,Rosaceae,Rosales
Acaena hirsutula,Acaena,Rosaceae,Rosales
Acaena hirta,Acaena,Rosaceae,Rosales
Acaena humilis,Acaena,Rosaceae,Rosales
Acaena huttonii,Acaena,Rosaceae,Rosales
Acaena hystrix,Acaena,Rosaceae,Rosales
Acaena incisa,Acaena,Rosaceae,Rosales
